,hhnum,adltfscat,binadltfscat,fincondition,region,rural,rrindicator,targetgroup,inchhavg_r,snapnowhh,povthresh_hh,elig_units1,percent_poverty,percent_female,pr_sex,avg_age_r,pr_age_r,hispanic,mode_racecat_r,alt_pnum,prop_white,prop_black,prop_other,prop_narace,educcat,pr_educcat,ncimmigrant_any,ncimmigrant_every,nchildren,nadults,disabled
0,100012,2,0,4,3,1,31,4,4667.33,1,2340.58333333333,0,199.40883682842625,0.4,0,29.1,47.5,0.0,1,5,1.0,0.0,0.0,0.0,1,2,0,0,2,3,0
1,100015,2,0,3,3,0,30,2,1200.0,0,995.416666666667,1,120.55253244035158,0.0,0,62.5,62.5,0.0,2,1,0.0,1.0,0.0,0.0,2,2,0,0,0,1,0
2,100024,2,0,3,2,0,20,3,5024.5,0,1318.75,0,381.0047393364929,0.5,1,32.0,47.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,1,1,0
3,100026,3,1,3,3,1,31,2,1800.0,0,1281.16666666667,0,140.49694289059417,0.5,1,27.5,27.5,0.0,1,2,1.0,0.0,0.0,0.0,3,3,0,0,0,2,0
4,100028,4,1,4,1,0,10,4,3998.0,1,3101.41666666667,1,128.90883198538288,0.3333333333333333,1,26.58333333333333,47.5,0.0,1,6,1.0,0.0,0.0,0.0,3,3,0,0,2,4,1
5,100031,1,0,1,1,0,10,3,7820.65184448042,0,1156.5,0,676.2344872010739,0.5,1,65.25,68.0,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
6,100040,1,0,2,3,0,30,4,1500.0,1,1156.5,1,129.70168612191958,0.5,0,57.75,47.5,1.0,3,2,0.0,0.0,1.0,0.0,1,1,0,0,0,2,0
7,100049,1,0,2,2,0,20,3,3263.338,0,1496.58333333333,0,218.0525419009972,0.0,0,27.5,27.5,0.0,3,1,0.0,0.0,1.0,0.0,1,1,1,1,0,1,0
8,100053,3,1,4,3,0,30,3,3033.33,0,1281.16666666667,0,236.76310654351443,1.0,1,62.5,62.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
9,100054,1,0,1,4,0,40,3,15000.0,0,1940.25,0,773.0962504831851,0.25,0,20.5,47.5,0.0,1,4,1.0,0.0,0.0,0.0,1,1,0,0,2,2,0
10,100055,1,0,3,3,1,31,2,2000.0,0,1940.25,1,103.07950006442468,0.5,1,14.0,27.5,0.0,1,4,1.0,0.0,0.0,0.0,1,1,0,0,2,2,0
11,100059,1,0,2,4,0,40,3,5995.0,0,1940.25,0,308.980801443113,0.25,0,14.25,27.5,1.0,1,4,1.0,0.0,0.0,0.0,1,1,1,0,2,2,0
12,100060,1,0,1,2,0,20,2,1377.0,0,1281.16666666667,1,107.48016131130453,0.5,1,47.5,47.5,0.0,2,2,0.0,1.0,0.0,0.0,3,3,0,0,0,2,1
13,100061,1,0,3,3,1,31,3,3025.4,0,995.416666666667,0,303.9330263708664,1.0,1,27.5,27.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
14,100067,2,0,3,2,0,20,3,8952.67,0,2556.5,0,350.1924506160767,0.2,0,10.2,27.5,0.0,1,5,0.8,0.0,0.2,0.0,1,1,0,0,4,1,0
15,100069,3,1,3,4,0,40,4,2822.0,1,2005.75,1,140.6955004362458,0.5,1,37.75,47.5,0.25,3,4,0.25,0.0,0.75,0.0,1,1,0,0,1,3,0
16,100073,3,1,3,1,1,11,4,1935.0,1,1156.5,1,167.31517509727627,0.5,1,66.25,85.0,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
17,100074,1,0,4,1,0,10,3,6253.0,0,2379.83333333333,0,262.74949226136323,0.3333333333333333,1,34.166666666666664,47.5,0.6666666666666666,1,3,1.0,0.0,0.0,0.0,2,2,0,0,0,3,0
18,100076,4,1,2,2,0,20,4,4580.0,1,1940.25,0,236.0520551475325,0.6666666666666666,1,13.0,27.5,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,2,1,0
19,100083,2,0,3,2,0,20,2,1523.0,0,995.416666666667,1,153.00125575554623,1.0,1,62.5,62.5,0.0,1,1,1.0,0.0,0.0,0.0,2,2,0,0,0,1,0
20,100088,2,0,3,2,0,20,3,3600.0,0,1540.0,0,233.76623376623377,0.6666666666666666,1,34.833333333333336,47.5,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,1,2,0
