HHNUM,PERCENT_FEMALE,PR_SEX,AVG_AGE_R,PR_AGE_R,HISPANIC,MODE_RACECAT_R,ALT_PNUM,PROP_WHITE,PROP_BLACK,PROP_OTHER,PROP_NARACE,EDUCCAT,PR_EDUCCAT,NCIMMIGRANT_ANY,NCIMMIGRANT_EVERY,NCHILDREN,NADULTS,DISABLED
100012,0.4,0,29.1,47.5,0.0,1,5,1.0,0.0,0.0,0.0,1,2,0,0,2,3,0
100015,0.0,0,62.5,62.5,0.0,2,1,0.0,1.0,0.0,0.0,2,2,0,0,0,1,0
100024,0.5,1,32.0,47.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,1,1,0
100026,0.5,1,27.5,27.5,0.0,1,2,1.0,0.0,0.0,0.0,3,3,0,0,0,2,0
100028,0.3333333333333333,1,26.583333333333332,47.5,0.0,1,6,1.0,0.0,0.0,0.0,3,3,0,0,2,4,1
100031,0.5,1,65.25,68,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
100040,0.5,0,57.75,47.5,1.0,3,2,0.0,0.0,1.0,0.0,1,1,0,0,0,2,0
100049,0.0,0,27.5,27.5,0.0,3,1,0.0,0.0,1.0,0.0,1,1,1,1,0,1,0
100053,1.0,1,62.5,62.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
100054,0.25,0,20.5,47.5,0.0,1,4,1.0,0.0,0.0,0.0,1,1,0,0,2,2,0
100055,0.5,1,14.0,27.5,0.0,1,4,1.0,0.0,0.0,0.0,1,1,0,0,2,2,0
100059,0.25,0,14.25,27.5,1.0,1,4,1.0,0.0,0.0,0.0,1,1,1,0,2,2,0
100060,0.5,1,47.5,47.5,0.0,2,2,0.0,1.0,0.0,0.0,3,3,0,0,0,2,1
100061,1.0,1,27.5,27.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
100067,0.2,0,10.2,27.5,0.0,1,5,0.8,0.0,0.2,0.0,1,1,0,0,4,1,0
100069,0.5,1,37.75,47.5,0.25,3,4,0.25,0.0,0.75,0.0,1,1,0,0,1,3,0
100073,0.5,1,66.25,85,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
100074,0.3333333333333333,1,34.166666666666664,47.5,0.6666666666666666,1,3,1.0,0.0,0.0,0.0,2,2,0,0,0,3,0
100076,0.6666666666666666,1,13.0,27.5,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,2,1,0
100083,1.0,1,62.5,62.5,0.0,1,1,1.0,0.0,0.0,0.0,2,2,0,0,0,1,0
100088,0.6666666666666666,1,34.833333333333336,47.5,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,1,2,0
100093,0.8,1,22.0,27.5,0.0,3,5,0.2,0.0,0.8,0.0,1,1,0,0,3,2,0
100095,1.0,1,85.0,85,0.0,1,1,1.0,0.0,0.0,0.0,3,3,0,0,0,1,0
100104,0.6666666666666666,0,19.333333333333332,27.5,0.0,3,3,0.3333333333333333,0.0,0.6666666666666666,0.0,2,2,0,0,1,2,0
100106,0.6666666666666666,1,16.833333333333332,27.5,0.0,1,3,0.6666666666666666,0.0,0.3333333333333333,0.0,1,1,0,0,2,1,0
100107,0.5,1,34.375,47.5,0.0,1,4,1.0,0.0,0.0,0.0,3,3,0,0,1,3,0
100110,0.6,1,33.6,47.5,0.0,1,5,1.0,0.0,0.0,0.0,2,2,0,0,0,5,1
100114,0.0,0,27.5,27.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
100128,0.5,1,85.0,85,0.0,1,2,1.0,0.0,0.0,0.0,3,3,0,0,0,2,0
100132,0.6666666666666666,1,21.416666666666668,47.5,1.0,3,6,0.0,0.0,1.0,0.0,1,1,1,0,3,3,0
100135,1.0,1,16.5,16.5,0.0,1,1,1.0,0.0,0.0,0.0,3,3,0,0,1,0,0
100138,0.42857142857142855,1,16.357142857142858,27.5,0.0,1,7,1.0,0.0,0.0,0.0,2,3,0,0,5,2,0
100140,0.6,1,25.7,47.5,1.0,3,5,0.0,0.0,1.0,0.0,3,3,1,0,2,3,0
100146,1.0,1,27.5,27.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
100148,0.6,1,23.2,47.5,1.0,3,5,0.0,0.0,1.0,0.0,1,3,0,0,2,3,0
100150,1.0,1,39.833333333333336,47.5,0.0,1,3,1.0,0.0,0.0,0.0,3,3,0,0,1,2,0
100151,0.2,0,14.3,27.5,0.0,2,5,0.0,1.0,0.0,0.0,1,1,0,0,3,2,0
100155,1.0,1,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
100158,0.5,1,36.0,47.5,0.0,3,10,0.0,0.0,1.0,0.0,1,1,0,0,3,7,1
100159,1.0,1,22.5,47.5,1.0,1,3,1.0,0.0,0.0,0.0,2,2,0,0,2,1,1
100162,0.0,0,27.5,27.5,0.0,2,1,0.0,1.0,0.0,0.0,1,1,0,0,0,1,0
100163,0.6666666666666666,1,33.166666666666664,27.5,1.0,1,3,1.0,0.0,0.0,0.0,2,2,0,0,1,2,0
100167,1.0,1,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,3,3,0,0,0,1,0
100174,0.3333333333333333,1,30.5,47.5,0.0,1,3,0.6666666666666666,0.0,0.3333333333333333,0.0,3,3,0,0,1,2,0
100183,0.8,1,25.9,47.5,0.0,1,5,0.8,0.0,0.2,0.0,2,2,0,0,2,3,0
100186,0.0,0,27.5,27.5,0.0,1,1,1.0,0.0,0.0,0.0,2,2,0,0,0,1,0
100188,1.0,1,66.25,85,1.0,1,2,1.0,0.0,0.0,0.0,1,1,1,0,0,2,0
100192,0.6666666666666666,1,16.083333333333332,47.5,0.0,1,6,1.0,0.0,0.0,0.0,1,1,1,0,4,2,0
100194,0.5,1,30.375,47.5,0.0,1,4,1.0,0.0,0.0,0.0,1,1,0,0,0,4,0
100197,1.0,1,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
100203,0.6666666666666666,1,39.833333333333336,47.5,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,1,2,0
100207,0.5,1,25.25,47.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,1,1,0
100209,0.6,1,31.6,47.5,1.0,1,5,1.0,0.0,0.0,0.0,1,1,0,0,1,4,0
100210,0.4,1,28.8,47.5,0.0,1,5,1.0,0.0,0.0,0.0,1,1,0,0,2,3,0
100214,0.5,1,47.5,47.5,1.0,3,2,0.0,0.0,1.0,0.0,3,3,1,1,0,2,0
100220,0.5,1,21.0,47.5,0.0,3,4,0.25,0.0,0.75,0.0,1,1,0,0,3,1,0
100223,0.75,1,29.5,47.5,0.0,1,4,1.0,0.0,0.0,0.0,1,1,1,0,2,2,0
100225,0.5,1,66.25,85,0.0,1,2,1.0,0.0,0.0,0.0,2,2,0,0,0,2,0
100228,0.3333333333333333,1,40.833333333333336,47.5,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,0,3,0
100229,0.6,0,18.1,47.5,0.0,3,5,0.2,0.0,0.8,0.0,1,1,0,0,3,2,0
100231,0.5,1,47.5,47.5,0.5,1,2,0.5,0.0,0.5,0.0,2,2,0,0,0,2,0
100238,0.5,1,55.0,62.5,1.0,1,2,1.0,0.0,0.0,0.0,3,3,0,0,0,2,0
100240,0.7142857142857143,1,17.214285714285715,47.5,0.7142857142857143,1,7,1.0,0.0,0.0,0.0,1,1,0,0,5,2,1
100244,0.5,1,47.5,47.5,0.0,1,2,1.0,0.0,0.0,0.0,1,2,0,0,0,2,0
100246,0.25,0,37.5,27.5,0.0,2,4,0.0,1.0,0.0,0.0,2,2,0,0,0,4,0
100255,0.75,1,44.375,47.5,1.0,1,8,1.0,0.0,0.0,0.0,1,2,0,0,0,8,0
100262,0.0,0,47.5,47.5,1.0,3,1,0.0,0.0,1.0,0.0,2,2,0,0,0,1,0
100267,0.4,1,27.4,47.5,0.0,1,5,1.0,0.0,0.0,0.0,1,1,0,0,2,3,0
100268,0.5,0,59.125,85,1.0,1,4,1.0,0.0,0.0,0.0,1,1,0,0,0,4,0
